[ PSN ]

tEPS_Z
sigma_x[17] = -1.873339e+04		sigma_y[17] = -7.856409e+05		tau[17] = -5.231199e+77
sigma_x[18] = -1.244425e+05		sigma_y[18] = 1.017798e+05		tau[18] = -5.231199e+77
sigma_x[19] = -8.829860e+03		sigma_y[19] = 6.976030e+05		tau[19] = -5.231199e+77
sigma_x[20] = -2.673637e+03		sigma_y[20] = 7.440779e+05		tau[20] = -5.231199e+77
sigma_x[21] = -1.115379e+04		sigma_y[21] = -8.010146e+05		tau[21] = -5.231199e+77
sigma_x[22] = -1.224947e+05		sigma_y[22] = 1.012808e+05		tau[22] = -5.231199e+77
sigma_x[23] = -1.024772e+04		sigma_y[23] = 7.196535e+05		tau[23] = -5.231199e+77
sigma_x[24] = -1.219528e+05		sigma_y[24] = 9.646070e+04		tau[24] = -5.231199e+77
sigma_x[25] = -2.335392e+04		sigma_y[25] = 6.914110e+05		tau[25] = -5.231199e+77
sigma_x[26] = -1.186528e+05		sigma_y[26] = 9.712782e+04		tau[26] = -5.231199e+77
sigma_x[27] = -3.196387e+04		sigma_y[27] = 7.033810e+05		tau[27] = -5.231199e+77
sigma_x[28] = -1.205316e+05		sigma_y[28] = 1.005390e+05		tau[28] = -5.231199e+77
sigma_x[29] = -2.015065e+04		sigma_y[29] = 7.079110e+05		tau[29] = -5.231199e+77
sigma_x[30] = -1.181914e+05		sigma_y[30] = 9.997426e+04		tau[30] = -5.231199e+77
sigma_x[31] = -2.846079e+04		sigma_y[31] = 7.072834e+05		tau[31] = -5.231199e+77
sigma_x[32] = -1.135104e+05		sigma_y[32] = 1.045933e+05		tau[32] = -5.231199e+77
sigma_x[33] = 1.127689e+05		sigma_y[33] = -1.058574e+05		tau[33] = -5.231199e+77
sigma_x[34] = -1.128452e+05		sigma_y[34] = 1.058419e+05		tau[34] = -5.231199e+77
sigma_x[35] = 1.126038e+05		sigma_y[35] = -1.061880e+05		tau[35] = -5.231199e+77
sigma_x[36] = -1.148606e+05		sigma_y[36] = 1.017589e+05		tau[36] = -5.231199e+77
sigma_x[37] = -3.594642e+04		sigma_y[37] = 7.202001e+05		tau[37] = -5.231199e+77
sigma_x[38] = -1.135063e+05		sigma_y[38] = 1.041087e+05		tau[38] = -5.231199e+77
sigma_x[39] = -3.569890e+04		sigma_y[39] = 7.251465e+05		tau[39] = -5.231199e+77
sigma_x[40] = -1.126146e+05		sigma_y[40] = 1.061858e+05		tau[40] = -5.231199e+77
sigma_x[41] = 1.125415e+05		sigma_y[41] = -1.062132e+05		tau[41] = -5.231199e+77
sigma_x[42] = -1.142272e+05		sigma_y[42] = 1.058762e+05		tau[42] = -5.231199e+77
sigma_x[43] = 1.131085e+05		sigma_y[43] = -1.031961e+05		tau[43] = -5.231199e+77
sigma_x[44] = -1.129595e+05		sigma_y[44] = 1.050718e+05		tau[44] = -5.231199e+77
sigma_x[45] = -3.555088e+04		sigma_y[45] = 7.269733e+05		tau[45] = -5.231199e+77
sigma_x[46] = -1.145029e+05		sigma_y[46] = 1.050521e+05		tau[46] = -5.231199e+77
sigma_x[47] = -3.366048e+04		sigma_y[47] = 7.320023e+05		tau[47] = -5.231199e+77
sigma_x[48] = -1.158303e+05		sigma_y[48] = 1.003116e+05		tau[48] = -5.231199e+77
sigma_x[49] = -3.501535e+04		sigma_y[49] = 7.137388e+05		tau[49] = -5.231199e+77
sigma_x[50] = -1.141620e+05		sigma_y[50] = 1.026745e+05		tau[50] = -5.231199e+77
sigma_x[51] = -3.594052e+04		sigma_y[51] = 7.194837e+05		tau[51] = -5.231199e+77
sigma_x[52] = -1.160754e+05		sigma_y[52] = 1.007713e+05		tau[52] = -5.231199e+77
sigma_x[53] = -3.334140e+04		sigma_y[53] = 7.117757e+05		tau[53] = -5.231199e+77
sigma_x[54] = -1.145541e+05		sigma_y[54] = 1.021477e+05		tau[54] = -5.231199e+77
sigma_x[55] = -3.555109e+04		sigma_y[55] = 7.159567e+05		tau[55] = -5.231199e+77
sigma_x[56] = -1.133543e+05		sigma_y[56] = 1.039172e+05		tau[56] = -5.231199e+77
